# time(ps)   RMSD(Ang)   MSD(Ang^2)
1.730000000000000149e-01 1.948914689558916669e+00 3.798268467178528951e+00
1.740000000000000158e-01 1.961193622096660372e+00 3.846280423352618438e+00
1.750000000000000167e-01 1.960512078527931301e+00 3.843607610053909607e+00
1.759999999999999898e-01 1.958364650966901488e+00 3.835192106156714242e+00
1.769999999999999907e-01 1.957495022960818121e+00 3.831786764916373933e+00
1.779999999999999916e-01 1.966716643839257150e+00 3.867974357154351672e+00
1.789999999999999925e-01 1.968418342434163248e+00 3.874670770831258437e+00
1.799999999999999933e-01 1.971082852473232894e+00 3.885167611314016334e+00
1.809999999999999942e-01 1.982623039301592005e+00 3.930794115969482139e+00
1.819999999999999951e-01 1.998443100396638084e+00 3.993774825522927063e+00
1.829999999999999960e-01 2.009780427187923380e+00 4.039217365507671964e+00
1.839999999999999969e-01 2.023443666567814159e+00 4.094324271773398749e+00
1.849999999999999978e-01 2.037060395978634642e+00 4.149615056864631946e+00
1.859999999999999987e-01 2.055905289303623373e+00 4.226746558586614633e+00
1.869999999999999996e-01 2.066448592644811733e+00 4.270209786043722922e+00
1.880000000000000004e-01 2.064238128801560546e+00 4.261079052398167200e+00
1.890000000000000013e-01 2.062974106194458646e+00 4.255862162828824680e+00
1.900000000000000022e-01 2.058445489763671699e+00 4.237197834328402912e+00
1.910000000000000031e-01 2.065375568727999767e+00 4.265776239898508848e+00
1.920000000000000040e-01 2.071922370142825542e+00 4.292862307898263730e+00
1.930000000000000049e-01 2.062738122262451235e+00 4.254888561034823269e+00
1.940000000000000058e-01 2.068416226050802553e+00 4.278345684190245635e+00
1.950000000000000067e-01 2.069518638266442334e+00 4.282907394132190682e+00
1.960000000000000075e-01 2.085769483806283020e+00 4.350434339577527787e+00
1.970000000000000084e-01 2.086915378800852761e+00 4.355215798275507311e+00
1.980000000000000093e-01 2.077829800206083100e+00 4.317376678624451181e+00
1.990000000000000102e-01 2.078606055461480029e+00 4.320603133801133922e+00
2.000000000000000111e-01 2.078014238074823883e+00 4.318143173641690424e+00
2.010000000000000120e-01 2.081807679367817521e+00 4.333923213874816938e+00
2.020000000000000129e-01 2.079568497750838407e+00 4.324605136837678998e+00
2.030000000000000138e-01 2.083384506977356221e+00 4.340491003913282242e+00
2.040000000000000147e-01 2.096643417120308328e+00 4.395913618553923818e+00
2.050000000000000155e-01 2.119519171768009969e+00 4.492361519492150457e+00
2.060000000000000164e-01 2.130537228472300537e+00 4.539188881906432549e+00
2.070000000000000173e-01 2.134823705601719190e+00 4.557472253999055312e+00
2.080000000000000182e-01 2.154397994665530724e+00 4.641430719418861095e+00
2.089999999999999913e-01 2.170404598846307653e+00 4.710656122693201553e+00
2.099999999999999922e-01 2.168234571431343127e+00 4.701241156750059602e+00
2.109999999999999931e-01 2.162126554415240154e+00 4.674791237307519332e+00
2.119999999999999940e-01 2.173496514480060871e+00 4.724087098456974054e+00
2.129999999999999949e-01 2.183290805663141487e+00 4.766758742093209378e+00
2.139999999999999958e-01 2.194864443161266276e+00 4.817429923853615570e+00
2.149999999999999967e-01 2.192836239752616212e+00 4.808530774372393957e+00
2.159999999999999976e-01 2.208705629723479280e+00 4.878380558772190234e+00
2.169999999999999984e-01 2.224717193455436615e+00 4.949366590856235426e+00
2.179999999999999993e-01 2.237808490057834554e+00 5.007786838174924426e+00
2.190000000000000002e-01 2.237500115938840128e+00 5.006406768826323628e+00
2.200000000000000011e-01 2.238120392772135148e+00 5.009182892542495935e+00
2.210000000000000020e-01 2.247264238949405080e+00 5.050196559660848905e+00
2.220000000000000029e-01 2.244703585688800906e+00 5.038694187604159325e+00
2.230000000000000038e-01 2.233215349042882547e+00 4.987250795200724340e+00
2.240000000000000047e-01 2.227601254895999361e+00 4.962207350814231255e+00
2.250000000000000056e-01 2.224923494903308985e+00 4.950284558172754146e+00
2.260000000000000064e-01 2.214692904980324784e+00 4.904864663370190669e+00
2.270000000000000073e-01 2.199632488968251920e+00 4.838383086524667753e+00
2.280000000000000082e-01 2.188315307513334584e+00 4.788723885097179611e+00
2.290000000000000091e-01 2.188940450216840805e+00 4.791460294595506042e+00
2.300000000000000100e-01 2.191233508005558495e+00 4.801504286606345318e+00
2.310000000000000109e-01 2.183366468956756901e+00 4.767089137764696893e+00
2.320000000000000118e-01 2.181064133208922229e+00 4.757040753170388214e+00
2.330000000000000127e-01 2.198057849295282029e+00 4.831458308848601391e+00
2.340000000000000135e-01 2.197664191107760345e+00 4.829727896877327176e+00
2.350000000000000144e-01 2.196575920201693233e+00 4.824945773209916133e+00
2.360000000000000153e-01 2.211731837882833229e+00 4.891757722704574540e+00
2.370000000000000162e-01 2.218832870589573236e+00 4.923219307608766471e+00
2.380000000000000171e-01 2.238843352063358605e+00 5.012419555078296618e+00
2.390000000000000180e-01 2.239047430347981926e+00 5.013333395347900456e+00
2.399999999999999911e-01 2.236990675257716443e+00 5.004127281189973964e+00
2.409999999999999920e-01 2.247357379246067044e+00 5.050615190051749970e+00
2.419999999999999929e-01 2.244224568932041031e+00 5.036543915798205262e+00
2.429999999999999938e-01 2.246776549563111125e+00 5.048004863666720077e+00
2.439999999999999947e-01 2.245732351950877614e+00 5.043313796598821064e+00
2.449999999999999956e-01 2.258583913180614910e+00 5.101201292878259963e+00
2.459999999999999964e-01 2.272683577790801213e+00 5.165090644759996685e+00
2.469999999999999973e-01 2.273443044025940107e+00 5.168543274429933554e+00
2.479999999999999982e-01 2.283544690173040070e+00 5.214576352017484595e+00
2.489999999999999991e-01 2.290752055873827242e+00 5.247544981490166016e+00
2.500000000000000000e-01 2.285589960515551411e+00 5.223921467609480729e+00
2.510000000000000009e-01 2.294103184378709859e+00 5.262909420576536768e+00
2.520000000000000018e-01 2.299231989222792816e+00 5.286467740265401005e+00
2.530000000000000027e-01 2.307633125266467911e+00 5.325170640827085577e+00
2.540000000000000036e-01 2.315972323480343320e+00 5.363727803126939087e+00
2.550000000000000044e-01 2.319143815096672778e+00 5.378428035101149973e+00
2.560000000000000053e-01 2.334740465314227631e+00 5.451013040375697116e+00
2.570000000000000062e-01 2.337620684377381242e+00 5.464470464028976515e+00
2.580000000000000071e-01 2.336686747550497767e+00 5.460104956178123636e+00
2.590000000000000080e-01 2.341347495559270797e+00 5.481908094961670308e+00
2.600000000000000089e-01 2.347292050607783231e+00 5.509779970846492958e+00
2.610000000000000098e-01 2.341543752377734489e+00 5.482827144299200484e+00
2.620000000000000107e-01 2.343149652133720284e+00 5.490350292294373880e+00
2.630000000000000115e-01 2.350414745406222305e+00 5.524449475422997580e+00
2.640000000000000124e-01 2.351368425013939500e+00 5.528933470152534113e+00
2.650000000000000133e-01 2.347430359856766291e+00 5.510429294377267695e+00
2.660000000000000142e-01 2.340469528275269440e+00 5.477797612785061609e+00
2.670000000000000151e-01 2.337184582877484207e+00 5.462431774440199561e+00
2.680000000000000160e-01 2.318287971545500703e+00 5.374459119012552577e+00
2.690000000000000169e-01 2.315258986870520452e+00 5.360424176284708686e+00
2.700000000000000178e-01 2.315415433538978718e+00 5.361148629870497118e+00
2.710000000000000187e-01 2.316868937793136851e+00 5.367881674910697676e+00
2.720000000000000195e-01 2.317233020176602931e+00 5.369568869796781385e+00
2.730000000000000204e-01 2.316005809826999773e+00 5.363882911152417776e+00
2.740000000000000213e-01 2.313083569758038305e+00 5.350355600684589596e+00
2.750000000000000222e-01 2.310145878404463726e+00 5.336773979509130683e+00
2.760000000000000231e-01 2.317140991485644896e+00 5.369142374423077513e+00
2.770000000000000240e-01 2.309777986277415707e+00 5.335074345891753111e+00
2.780000000000000249e-01 2.309269995567747813e+00 5.332727912429465533e+00
2.790000000000000258e-01 2.306546657500229802e+00 5.320157483225482764e+00
2.800000000000000266e-01 2.312940462271475539e+00 5.349693582012587711e+00
2.810000000000000275e-01 2.309380157124166999e+00 5.333236710118842261e+00
2.820000000000000284e-01 2.301482813311770848e+00 5.296823139969462524e+00
2.830000000000000293e-01 2.308831112222969217e+00 5.330701104768754028e+00
2.840000000000000302e-01 2.294375580039253126e+00 5.264159302280459585e+00
2.850000000000000311e-01 2.298229001775127678e+00 5.281856544600300296e+00
2.860000000000000320e-01 2.308046649516700022e+00 5.327079336345264871e+00
2.870000000000000329e-01 2.322056681850985349e+00 5.391947233728808797e+00
2.880000000000000338e-01 2.327195064592733065e+00 5.415836868664774428e+00
2.889999999999999791e-01 2.331590637434341140e+00 5.436314900571478148e+00
2.899999999999999800e-01 2.334569098005764509e+00 5.450212873363449617e+00
2.909999999999999809e-01 2.347893550513798555e+00 5.512604124544291828e+00
2.919999999999999818e-01 2.357994570939813350e+00 5.560138396581634446e+00
2.929999999999999827e-01 2.356994391798635125e+00 5.555422562970218081e+00
2.939999999999999836e-01 2.357414663653030207e+00 5.557403896406328592e+00
2.949999999999999845e-01 2.361539803148002381e+00 5.576870241852306620e+00
2.959999999999999853e-01 2.355131233766768251e+00 5.546643128263780476e+00
2.969999999999999862e-01 2.355162485489413093e+00 5.546790333056669020e+00
2.979999999999999871e-01 2.363779403850487792e+00 5.587453070067768479e+00
2.989999999999999880e-01 2.355392162178812754e+00 5.547872237653382221e+00
2.999999999999999889e-01 2.354398894903008799e+00 5.543194156320509158e+00
