# time(ps)   RMSD(Ang)   MSD(Ang^2)
6.700000000000000400e-02 2.731911470586494861e+00 7.463340283122064100e+00
6.800000000000000488e-02 2.680422862675996054e+00 7.184666722756181123e+00
6.900000000000000577e-02 2.667474913142195536e+00 7.115422412242963901e+00
7.000000000000000666e-02 2.646967859070132878e+00 7.006438846950323374e+00
7.100000000000000755e-02 2.522167946323848220e+00 6.361331149463459234e+00
7.200000000000000844e-02 2.526224101524679355e+00 6.381808211124174512e+00
7.299999999999999545e-02 2.527582600407906721e+00 6.388673801884796610e+00
7.399999999999999634e-02 2.559504294664469271e+00 6.551062234405861773e+00
7.499999999999999722e-02 2.674851532757592576e+00 7.154830722295643319e+00
7.599999999999999811e-02 2.719167604423545104e+00 7.393872460946480096e+00
7.699999999999999900e-02 2.758155095253524980e+00 7.607419529472981168e+00
7.799999999999999989e-02 2.815586805076324417e+00 7.927529056919905059e+00
7.900000000000000078e-02 2.811650118891356964e+00 7.905376391061781582e+00
8.000000000000000167e-02 2.846374894029145786e+00 8.101850037359431767e+00
8.100000000000000255e-02 2.868724792791197409e+00 8.229581936774899020e+00
8.200000000000000344e-02 2.846700708503637767e+00 8.103704923795111981e+00
8.300000000000000433e-02 2.904833894272845551e+00 8.438059953316345840e+00
8.400000000000000522e-02 2.873650573085585247e+00 8.257867616195113669e+00
8.500000000000000611e-02 2.941893803956075804e+00 8.654739153755150127e+00
8.600000000000000699e-02 2.921477234919190202e+00 8.535029234151076949e+00
8.700000000000000788e-02 2.922069039616329800e+00 8.538487472284298718e+00
8.799999999999999489e-02 3.008581012183122461e+00 9.051559706868820498e+00
8.899999999999999578e-02 2.946935377926203081e+00 8.684428121673052559e+00
8.999999999999999667e-02 2.987096245219068358e+00 8.922743978201857828e+00
9.099999999999999756e-02 2.975076856214275978e+00 8.851082300381818868e+00
9.199999999999999845e-02 2.960971099392474493e+00 8.767349851437479913e+00
9.299999999999999933e-02 2.912484153178291013e+00 8.482563942514667943e+00
9.400000000000000022e-02 2.828455093842702439e+00 8.000158217884731471e+00
9.500000000000000111e-02 2.871844998903834600e+00 8.247493697728964790e+00
9.600000000000000200e-02 2.865903959476763241e+00 8.213405504944589097e+00
9.700000000000000289e-02 2.861286319397505107e+00 8.186959401571321848e+00
9.800000000000000377e-02 2.845585959942876109e+00 8.097359455424019359e+00
9.900000000000000466e-02 2.731176840264478489e+00 7.459326932797060827e+00
1.000000000000000056e-01 2.769208385036566522e+00 7.668515079756828889e+00
1.010000000000000064e-01 2.736319811355784726e+00 7.487446110018157519e+00
1.020000000000000073e-01 2.771556262146003480e+00 7.681524114240726675e+00
1.030000000000000082e-01 2.847816527811194209e+00 8.110058976074606463e+00
1.040000000000000091e-01 2.781510153433889077e+00 7.736798733655818161e+00
1.049999999999999961e-01 2.871127029533967701e+00 8.243370419720545073e+00
1.059999999999999970e-01 2.909544484210663473e+00 8.465449105600695745e+00
1.069999999999999979e-01 2.820639226387668064e+00 7.956005645436821538e+00
1.079999999999999988e-01 2.884759227058451003e+00 8.321835798098872417e+00
1.089999999999999997e-01 2.914417197324888686e+00 8.493827600063060146e+00
1.100000000000000006e-01 2.935752777190589136e+00 8.618644368782256038e+00
1.110000000000000014e-01 2.957261965818536620e+00 8.745398334476915281e+00
1.120000000000000023e-01 2.818077566000303236e+00 7.941561167994194648e+00
1.130000000000000032e-01 2.838593697281400985e+00 8.057614178245694703e+00
1.140000000000000041e-01 2.847792476065193590e+00 8.109921986733526822e+00
1.150000000000000050e-01 2.866576212658887179e+00 8.217259182981770493e+00
1.160000000000000059e-01 2.842004153446947790e+00 8.076987608209702074e+00
1.170000000000000068e-01 2.830806517500246144e+00 8.013465539521872572e+00
1.180000000000000077e-01 2.859481986808973364e+00 8.176637232884994333e+00
1.190000000000000085e-01 2.835552136005737633e+00 8.040355916006701520e+00
1.199999999999999956e-01 2.820419591989868024e+00 7.954766674880293209e+00
1.209999999999999964e-01 2.832006653915880801e+00 8.020261687823824204e+00
1.219999999999999973e-01 2.850624098937899475e+00 8.126057753445511622e+00
1.229999999999999982e-01 2.896443814616965096e+00 8.389386771232874906e+00
1.239999999999999991e-01 2.793918434612955526e+00 7.805980219270108655e+00
1.250000000000000000e-01 2.762754814779257551e+00 7.632814166585969673e+00
1.260000000000000009e-01 2.733156656652112382e+00 7.470145309801753619e+00
1.270000000000000018e-01 2.633263046476077118e+00 6.934074271936470524e+00
1.280000000000000027e-01 2.668848309422113818e+00 7.122751298705274792e+00
1.290000000000000036e-01 2.632757965526742350e+00 6.931414505044511287e+00
1.300000000000000044e-01 2.600436840976270148e+00 6.762271763906643862e+00
1.310000000000000053e-01 2.571837450182256735e+00 6.614347870159971166e+00
1.320000000000000062e-01 2.510581601019668430e+00 6.303019975378481909e+00
1.330000000000000071e-01 2.540467773607904878e+00 6.453976508740304929e+00
1.340000000000000080e-01 2.600019432985943624e+00 6.760101051904547909e+00
1.350000000000000089e-01 2.588730999027237800e+00 6.701528185324561626e+00
1.360000000000000098e-01 2.560376710645372533e+00 6.555528900415218629e+00
1.370000000000000107e-01 2.553018491040234927e+00 6.517903415593358396e+00
1.380000000000000115e-01 2.486812457012314237e+00 6.184236196351623249e+00
1.390000000000000124e-01 2.514863265534962533e+00 6.324537244337175679e+00
1.400000000000000133e-01 2.509969243548434648e+00 6.299945603559101492e+00
1.410000000000000142e-01 2.480205532824899528e+00 6.151419485055243719e+00
1.420000000000000151e-01 2.483679190633358402e+00 6.168662321985173946e+00
1.430000000000000160e-01 2.464999984545859668e+00 6.076224923811088807e+00
1.440000000000000169e-01 2.381874205475439155e+00 5.673324730709254915e+00
1.449999999999999900e-01 2.306083430640444742e+00 5.318020789074403787e+00
1.459999999999999909e-01 2.276545976685294459e+00 5.182661583962000940e+00
1.469999999999999918e-01 2.171251538923833380e+00 4.714333245279115125e+00
1.479999999999999927e-01 2.118430776184752951e+00 4.487748953486734749e+00
1.489999999999999936e-01 2.110138408028132240e+00 4.452684101035499609e+00
1.499999999999999944e-01 2.047944738188185454e+00 4.194077650672675794e+00
1.509999999999999953e-01 2.052585775181058558e+00 4.213108364475626644e+00
1.519999999999999962e-01 2.038088578415440555e+00 4.153805053467470643e+00
1.529999999999999971e-01 1.978146391825515771e+00 3.913063147492306992e+00
1.539999999999999980e-01 1.896370170007341871e+00 3.596219821693674490e+00
1.549999999999999989e-01 1.872210259721122982e+00 3.505171256605034369e+00
1.559999999999999998e-01 1.861193810470424204e+00 3.464042400133417132e+00
1.570000000000000007e-01 1.801341479399034107e+00 3.244831125403500494e+00
1.580000000000000016e-01 1.912924961605592333e+00 3.659281908733756694e+00
1.590000000000000024e-01 1.946269275431934398e+00 3.787964092490347046e+00
1.600000000000000033e-01 1.950938941470485188e+00 3.806162753345977645e+00
1.610000000000000042e-01 2.022796141066424358e+00 4.091704228313218117e+00
1.620000000000000051e-01 1.994739389608288560e+00 3.978985232454848031e+00
1.630000000000000060e-01 2.048689648585220624e+00 4.197129276220235461e+00
1.640000000000000069e-01 2.138107502052805309e+00 4.571503690334487224e+00
1.650000000000000078e-01 2.160786606695652701e+00 4.668998759675313970e+00
1.660000000000000087e-01 2.255153200027180560e+00 5.085715955592832849e+00
1.670000000000000095e-01 2.291535238914119255e+00 5.251133751185189880e+00
1.680000000000000104e-01 2.349011181686085692e+00 5.517853531686260027e+00
1.690000000000000113e-01 2.325128340814493377e+00 5.406221801258759285e+00
1.700000000000000122e-01 2.309729646768620359e+00 5.334851041161896568e+00
1.710000000000000131e-01 2.245133949298634857e+00 5.040626450293285821e+00
1.720000000000000140e-01 2.269778395196242471e+00 5.151893963299630563e+00
1.730000000000000149e-01 2.327318672164095492e+00 5.416412201803648685e+00
1.740000000000000158e-01 2.312092589880930582e+00 5.345772144182308949e+00
1.750000000000000167e-01 2.488219198555457368e+00 6.191234780059962084e+00
1.759999999999999898e-01 2.405636270298987078e+00 5.787085864978021021e+00
1.769999999999999907e-01 2.685232553556939905e+00 7.210473866681923027e+00
1.779999999999999916e-01 2.709394495667845959e+00 7.340818533155220926e+00
1.789999999999999925e-01 2.856442452602853344e+00 8.159263485031804208e+00
1.799999999999999933e-01 2.964753992743838218e+00 8.789766237490530543e+00
1.809999999999999942e-01 2.979175229138824488e+00 8.875485045914368598e+00
1.819999999999999951e-01 3.075838458581763302e+00 9.460782223290637560e+00
1.829999999999999960e-01 3.106831288978409322e+00 9.652400658175244175e+00
1.839999999999999969e-01 3.223994564246261074e+00 1.039414095028944018e+01
1.849999999999999978e-01 3.348851401893876645e+00 1.121480571196658182e+01
1.859999999999999987e-01 3.365864025990363828e+00 1.132904064145606071e+01
1.869999999999999996e-01 3.415439340293704884e+00 1.166522588722589937e+01
1.880000000000000004e-01 3.537325704860863063e+00 1.251267314226940108e+01
1.890000000000000013e-01 3.553655475141763276e+00 1.262846723600503118e+01
1.900000000000000022e-01 3.700899048031432770e+00 1.369665376371996501e+01
1.910000000000000031e-01 3.651130801255214386e+00 1.333075612787454389e+01
1.920000000000000040e-01 3.660168764986974299e+00 1.339683538818627362e+01
1.930000000000000049e-01 3.655597371859066858e+00 1.336339214514291562e+01
1.940000000000000058e-01 3.678092281107709915e+00 1.352836282834411641e+01
1.950000000000000067e-01 3.774321459370297838e+00 1.424550247866313413e+01
1.960000000000000075e-01 3.749590105577102594e+00 1.405942595984170573e+01
1.970000000000000084e-01 3.723145402611979016e+00 1.386181168899071459e+01
1.980000000000000093e-01 3.769375186938523026e+00 1.420818929990782387e+01
1.990000000000000102e-01 3.710269625462093934e+00 1.376610069362662792e+01
2.000000000000000111e-01 3.819955392292266438e+00 1.459205919910276172e+01
2.010000000000000120e-01 3.729854339154348164e+00 1.391181339130851846e+01
2.020000000000000129e-01 3.674761751056351056e+00 1.350387392702674028e+01
2.030000000000000138e-01 3.713634042775429744e+00 1.379107780366058300e+01
2.040000000000000147e-01 3.703249016434283725e+00 1.371405327772148830e+01
2.050000000000000155e-01 3.806169631260699848e+00 1.448692726193121239e+01
2.060000000000000164e-01 3.835794014686333409e+00 1.471331572310350033e+01
2.070000000000000173e-01 3.811738636869174801e+00 1.452935143580127431e+01
2.080000000000000182e-01 3.747750107355579452e+00 1.404563086718375864e+01
2.089999999999999913e-01 3.654230170233559782e+00 1.335339813704518974e+01
2.099999999999999922e-01 3.615610602777280302e+00 1.307264003091548688e+01
2.109999999999999931e-01 3.604275920757564311e+00 1.299080491295278783e+01
2.119999999999999940e-01 3.621317572174878485e+00 1.311394095854255681e+01
2.129999999999999949e-01 3.632825448196701945e+00 1.319742073706556873e+01
2.139999999999999958e-01 3.613540517267467056e+00 1.305767506993363192e+01
2.149999999999999967e-01 3.553787207776215595e+00 1.262940351815386997e+01
2.159999999999999976e-01 3.608289935613459232e+00 1.301975625944938031e+01
2.169999999999999984e-01 3.586653084803506530e+00 1.286408035073050904e+01
2.179999999999999993e-01 3.568608261224171851e+00 1.273496492207740793e+01
2.190000000000000002e-01 3.616608260727713908e+00 1.307985531156394110e+01
2.200000000000000011e-01 3.538389265585636156e+00 1.252019859481165831e+01
2.210000000000000020e-01 3.550526740519927227e+00 1.260624013514705943e+01
2.220000000000000029e-01 3.544593955846020439e+00 1.256414631182013864e+01
2.230000000000000038e-01 3.586256728343863553e+00 1.286123732159163069e+01
2.240000000000000047e-01 3.476253245445043660e+00 1.208433662646720030e+01
2.250000000000000056e-01 3.394132520358623228e+00 1.152013556575597875e+01
2.260000000000000064e-01 3.413394431520348160e+00 1.165126154513412082e+01
2.270000000000000073e-01 3.340896566918938326e+00 1.116158987085074905e+01
2.280000000000000082e-01 3.298322946019864865e+00 1.087893425624115906e+01
2.290000000000000091e-01 3.298177867849869660e+00 1.087797724797471233e+01
2.300000000000000100e-01 3.264120919188600922e+00 1.065448537508463822e+01
2.310000000000000109e-01 3.300517290178837992e+00 1.089341438276945873e+01
2.320000000000000118e-01 3.200019590679128001e+00 1.024012538073021261e+01
2.330000000000000127e-01 3.174252400787918482e+00 1.007587830390786543e+01
2.340000000000000135e-01 3.111798529361076593e+00 9.683290087333759288e+00
2.350000000000000144e-01 3.039510071586168038e+00 9.238621475273751216e+00
2.360000000000000153e-01 2.990154544014183013e+00 8.941024197088667691e+00
2.370000000000000162e-01 2.942465671984773046e+00 8.658104230808801205e+00
2.380000000000000171e-01 2.896394237438060681e+00 8.389099578664405144e+00
2.390000000000000180e-01 2.904808038339746989e+00 8.437909739603208337e+00
2.399999999999999911e-01 2.861214032693404796e+00 8.186545740881657096e+00
2.409999999999999920e-01 2.870989292756099598e+00 8.242579519120170062e+00
2.419999999999999929e-01 2.949994527941310452e+00 8.702467714883676209e+00
2.429999999999999938e-01 2.928116496044103734e+00 8.573866214405599706e+00
2.439999999999999947e-01 2.929863015489365452e+00 8.584097289532438779e+00
2.449999999999999956e-01 2.839383628328728371e+00 8.062099388821215129e+00
2.459999999999999964e-01 2.959002731716228851e+00 8.755697166304104329e+00
2.469999999999999973e-01 2.876749401769195025e+00 8.275687120579421574e+00
2.479999999999999982e-01 2.843661339561626811e+00 8.086409814117425654e+00
2.489999999999999991e-01 2.876977755350881960e+00 8.277001004783800298e+00
2.500000000000000000e-01 2.777026605707209495e+00 7.711876768805706384e+00
2.510000000000000009e-01 2.835721829721144172e+00 8.041318295557033480e+00
2.520000000000000018e-01 2.795131013359138716e+00 7.812757381842085458e+00
2.530000000000000027e-01 2.821841399276891593e+00 7.962788882672964696e+00
2.540000000000000036e-01 2.827204519346629308e+00 7.993085394214006101e+00
2.550000000000000044e-01 2.811508228221689443e+00 7.904578517358264556e+00
2.560000000000000053e-01 2.855175627030326346e+00 8.152027861188017255e+00
2.570000000000000062e-01 2.891761528273332438e+00 8.362284736401718988e+00
2.580000000000000071e-01 2.859892263460746431e+00 8.178983758602631937e+00
2.590000000000000080e-01 2.693362785422724226e+00 7.254203093900055244e+00
2.600000000000000089e-01 2.703768960423033718e+00 7.310366591347051468e+00
2.610000000000000098e-01 2.617739196065240304e+00 6.852558498616289739e+00
2.620000000000000107e-01 2.550494467038388002e+00 6.505022026393429968e+00
2.630000000000000115e-01 2.499951519207291639e+00 6.249757598386846524e+00
2.640000000000000124e-01 2.509648891960873041e+00 6.298337560920438172e+00
