# time(ps)   RMSD(Ang)   MSD(Ang^2)
9.700000000000000289e-02 3.266335101594660006e+00 1.066894499590939915e+01
9.800000000000000377e-02 3.211159648235068609e+00 1.031154628645317040e+01
9.900000000000000466e-02 3.270271191541707978e+00 1.069467366622762228e+01
1.000000000000000056e-01 3.178770937337288327e+00 1.010458467206018263e+01
1.010000000000000064e-01 3.103544092204582494e+00 9.631985932257967065e+00
1.020000000000000073e-01 3.038094907703166481e+00 9.230020668211910362e+00
1.030000000000000082e-01 3.036556928511235487e+00 9.220677980089588388e+00
1.040000000000000091e-01 3.052625010719532739e+00 9.318519456070426088e+00
1.049999999999999961e-01 3.021098275945916622e+00 9.127034792923391038e+00
1.059999999999999970e-01 3.103980694230008108e+00 9.634696150152603167e+00
1.069999999999999979e-01 3.160323554738663443e+00 9.987644970636020858e+00
1.079999999999999988e-01 3.374722376488287878e+00 1.138875111837075771e+01
1.089999999999999997e-01 3.450834904778231849e+00 1.190826154003578807e+01
1.100000000000000006e-01 3.494791682244724917e+00 1.221356890228691405e+01
1.110000000000000014e-01 3.529062203061545056e+00 1.245428003307760711e+01
1.120000000000000023e-01 3.495571231229946285e+00 1.221901823260244413e+01
1.130000000000000032e-01 3.523835534892654220e+00 1.241741687697219909e+01
1.140000000000000041e-01 3.518558729613842306e+00 1.238025553374177434e+01
1.150000000000000050e-01 3.489326285161028718e+00 1.217539792431566603e+01
1.160000000000000059e-01 3.592357006576781586e+00 1.290502886270129324e+01
1.170000000000000068e-01 3.502789546996886827e+00 1.226953461055065553e+01
1.180000000000000077e-01 3.600567368163333448e+00 1.296408537268263395e+01
1.190000000000000085e-01 3.560976562288723724e+00 1.268055407716961724e+01
1.199999999999999956e-01 3.605860976031573628e+00 1.300223337846737159e+01
1.209999999999999964e-01 3.629874791885035368e+00 1.317599100476242846e+01
1.219999999999999973e-01 3.575797756805267902e+00 1.278632959757358556e+01
1.229999999999999982e-01 3.636279784517383540e+00 1.322253067128979076e+01
1.239999999999999991e-01 3.559447722550971083e+00 1.266966808957329427e+01
1.250000000000000000e-01 3.529148320158553176e+00 1.245488786567793760e+01
1.260000000000000009e-01 3.483781478278895172e+00 1.213673338839908489e+01
1.270000000000000018e-01 3.510277506252717394e+00 1.232204817090379656e+01
1.280000000000000027e-01 3.497214213530640325e+00 1.223050725532073635e+01
1.290000000000000036e-01 3.506512701790270636e+00 1.229563132781650303e+01
1.300000000000000044e-01 3.480061499229726074e+00 1.211082803842104738e+01
1.310000000000000053e-01 3.454811175089445907e+00 1.193572025552291827e+01
1.320000000000000062e-01 3.478724863606482476e+00 1.210152667667394155e+01
1.330000000000000071e-01 3.559137277466505989e+00 1.266745815985169088e+01
1.340000000000000080e-01 3.573479027843311950e+00 1.276975236243598033e+01
1.350000000000000089e-01 3.598616955552081720e+00 1.295004399278693263e+01
1.360000000000000098e-01 3.684412449042318016e+00 1.357489509465801092e+01
1.370000000000000107e-01 3.608964805967711520e+00 1.302462697071356068e+01
1.380000000000000115e-01 3.685560069982866782e+00 1.358335302945211431e+01
1.390000000000000124e-01 3.669058272587921721e+00 1.346198860764586414e+01
1.400000000000000133e-01 3.635341692237510802e+00 1.321570921932028853e+01
1.410000000000000142e-01 3.672495448213853653e+00 1.348722281715147453e+01
1.420000000000000151e-01 3.592231423986948169e+00 1.290412660347929830e+01
1.430000000000000160e-01 3.638845392355193997e+00 1.324119578946462639e+01
1.440000000000000169e-01 3.657996370043089751e+00 1.338093744324842049e+01
1.449999999999999900e-01 3.624076324508989977e+00 1.313392920586659152e+01
1.459999999999999909e-01 3.587258089373646541e+00 1.286842059977666430e+01
1.469999999999999918e-01 3.464569169427492934e+00 1.200323952974750874e+01
1.479999999999999927e-01 3.423649877516742990e+00 1.172137848382040914e+01
1.489999999999999936e-01 3.479114619639277262e+00 1.210423853658775251e+01
1.499999999999999944e-01 3.495049530082411593e+00 1.221537121772928458e+01
1.509999999999999953e-01 3.484442710800315535e+00 1.214134100484945122e+01
1.519999999999999962e-01 3.590985429110720606e+00 1.289517635208550494e+01
1.529999999999999971e-01 3.572648167226109006e+00 1.276381492678407703e+01
1.539999999999999980e-01 3.601248139843894247e+00 1.296898816472910987e+01
1.549999999999999989e-01 3.611247958470539476e+00 1.304111181755764015e+01
1.559999999999999998e-01 3.567142184149568074e+00 1.272450336193934994e+01
1.570000000000000007e-01 3.593289886175100367e+00 1.291173220608826711e+01
1.580000000000000016e-01 3.578697792312491632e+00 1.280707788870230068e+01
1.590000000000000024e-01 3.522260829842409180e+00 1.240632135344213793e+01
1.600000000000000033e-01 3.436787999352854506e+00 1.181151175249579488e+01
1.610000000000000042e-01 3.491467201604915527e+00 1.219034321988286074e+01
1.620000000000000051e-01 3.485920375331101884e+00 1.215164086314853087e+01
1.630000000000000060e-01 3.353451492785536114e+00 1.124563691446554081e+01
1.640000000000000069e-01 3.469398252953078465e+00 1.203672423759387300e+01
1.650000000000000078e-01 3.433665166900959242e+00 1.179005647838899229e+01
1.660000000000000087e-01 3.519236321122070521e+00 1.238502428390480503e+01
1.670000000000000095e-01 3.599703083288087413e+00 1.295786228783376259e+01
1.680000000000000104e-01 3.616549281783029812e+00 1.307942870756535036e+01
1.690000000000000113e-01 3.703815741920097881e+00 1.371825105009512491e+01
1.700000000000000122e-01 3.655756855522597437e+00 1.336455818670047080e+01
1.710000000000000131e-01 3.699634330258238180e+00 1.368729417762532385e+01
1.720000000000000140e-01 3.643173092012925274e+00 1.327271017836701894e+01
1.730000000000000149e-01 3.701189647462564736e+00 1.369880480648406262e+01
1.740000000000000158e-01 3.676872841765703281e+00 1.351939389451419693e+01
1.750000000000000167e-01 3.644113150355269060e+00 1.327956065259220431e+01
1.759999999999999898e-01 3.703023698066530311e+00 1.371238450844232126e+01
1.769999999999999907e-01 3.646049134367500333e+00 1.329367429022199865e+01
1.779999999999999916e-01 3.821127949748594599e+00 1.460101880834989707e+01
1.789999999999999925e-01 3.871414237283754112e+00 1.498784819664335011e+01
1.799999999999999933e-01 3.806154615809940633e+00 1.448681295945131531e+01
1.809999999999999942e-01 3.832567677485160473e+00 1.468857500250399717e+01
1.819999999999999951e-01 3.827098065047553455e+00 1.464667959949072618e+01
1.829999999999999960e-01 3.847408897035529574e+00 1.480255522098814858e+01
1.839999999999999969e-01 3.874374571195452699e+00 1.501077831792594885e+01
1.849999999999999978e-01 3.938310822042109027e+00 1.551029213101399229e+01
1.859999999999999987e-01 3.998689515252932480e+00 1.598951783939373250e+01
1.869999999999999996e-01 4.043062854061473033e+00 1.634635724189170247e+01
1.880000000000000004e-01 4.124146871753010757e+00 1.700858741979014255e+01
1.890000000000000013e-01 4.114707206018933583e+00 1.693081539126414015e+01
1.900000000000000022e-01 4.154750781982323282e+00 1.726195406038272395e+01
1.910000000000000031e-01 4.130850204197046516e+00 1.706392340951478204e+01
1.920000000000000040e-01 4.167081076610792856e+00 1.736456469904776512e+01
1.930000000000000049e-01 4.168029554813782234e+00 1.737247036980117443e+01
1.940000000000000058e-01 4.193628426854352220e+00 1.758651938252090829e+01
1.950000000000000067e-01 4.321139669232999303e+00 1.867224804101907765e+01
1.960000000000000075e-01 4.266907593949930799e+00 1.820650041530758756e+01
1.970000000000000084e-01 4.231449464819940331e+00 1.790516457332495648e+01
1.980000000000000093e-01 4.210195516153989459e+00 1.772574628424315790e+01
1.990000000000000102e-01 4.205893798641983317e+00 1.768954264545509503e+01
2.000000000000000111e-01 4.190438883276263127e+00 1.755977803447361296e+01
2.010000000000000120e-01 4.172205350816680536e+00 1.740729748938334254e+01
2.020000000000000129e-01 4.191139138063188163e+00 1.756564727460504116e+01
2.030000000000000138e-01 4.034080323566438864e+00 1.627380405698590593e+01
2.040000000000000147e-01 4.016767151981664341e+00 1.613441835323889251e+01
2.050000000000000155e-01 4.027982755421563255e+00 1.622464507797349142e+01
2.060000000000000164e-01 3.958399992897965181e+00 1.566893050377461094e+01
2.070000000000000173e-01 3.974507104560211168e+00 1.579670672419959310e+01
2.080000000000000182e-01 3.804023358025915513e+00 1.447059370840676173e+01
2.089999999999999913e-01 3.782656178557931348e+00 1.430848776518249110e+01
2.099999999999999922e-01 3.780849090904259580e+00 1.429481984819156537e+01
2.109999999999999931e-01 3.771719078222587562e+00 1.422586480502824458e+01
2.119999999999999940e-01 3.813934740800533962e+00 1.454609820708523671e+01
2.129999999999999949e-01 3.762202391401130885e+00 1.415416683386438734e+01
2.139999999999999958e-01 3.753384536145732753e+00 1.408789547617791804e+01
2.149999999999999967e-01 3.778418957306349135e+00 1.427644981693199888e+01
2.159999999999999976e-01 3.789285412375523521e+00 1.435868393644194008e+01
2.169999999999999984e-01 3.865406054910579758e+00 1.494136396933937228e+01
2.179999999999999993e-01 3.872284989697976521e+00 1.499459104144025723e+01
2.190000000000000002e-01 3.849504362909359045e+00 1.481868384005819195e+01
2.200000000000000011e-01 3.797923195768353466e+00 1.442422060095530334e+01
2.210000000000000020e-01 3.811458875268409763e+00 1.452721875786233063e+01
2.220000000000000029e-01 3.898741525214140857e+00 1.520018548042908435e+01
2.230000000000000038e-01 3.937047328349491337e+00 1.550034166566386595e+01
2.240000000000000047e-01 3.940593337832272169e+00 1.552827585416808809e+01
2.250000000000000056e-01 3.979838155256898435e+00 1.583911174203863226e+01
2.260000000000000064e-01 4.011062963641351509e+00 1.608862609829533952e+01
2.270000000000000073e-01 4.019277768177357046e+00 1.615459377776475947e+01
2.280000000000000082e-01 3.940917004680327462e+00 1.553082683777856410e+01
2.290000000000000091e-01 3.888881417360198878e+00 1.512339867828947071e+01
2.300000000000000100e-01 3.791178942499314530e+00 1.437303777405021954e+01
2.310000000000000109e-01 3.610487221424789617e+00 1.303561797607169837e+01
2.320000000000000118e-01 3.563598223806899057e+00 1.269923230071968590e+01
2.330000000000000127e-01 3.576977283761511472e+00 1.279476648854588205e+01
