# time(ps)   RMSD(Ang)   MSD(Ang^2)
6.500000000000000222e-02 1.764215674276111701e+00 3.112456945361515626e+00
6.600000000000000311e-02 1.760950031143578176e+00 3.100945012184568750e+00
6.700000000000000400e-02 1.760296465634204388e+00 3.098643646924271966e+00
6.800000000000000488e-02 1.757092054807324555e+00 3.087372489067025771e+00
6.900000000000000577e-02 1.749769452626683153e+00 3.061693137345482540e+00
7.000000000000000666e-02 1.740987624243791831e+00 3.031037907770042228e+00
7.100000000000000755e-02 1.759145234112660328e+00 3.094591954701286785e+00
7.200000000000000844e-02 1.764407508667048763e+00 3.113133856640661890e+00
7.299999999999999545e-02 1.772966507634211819e+00 3.143410237192653778e+00
7.399999999999999634e-02 1.781399070697627707e+00 3.173382649082371554e+00
7.499999999999999722e-02 1.782467143037326229e+00 3.177189116007648195e+00
7.599999999999999811e-02 1.796578578347374666e+00 3.227694588176674095e+00
7.699999999999999900e-02 1.792798252712236806e+00 3.214125574928049289e+00
7.799999999999999989e-02 1.787017208235651688e+00 3.193430502530342441e+00
7.900000000000000078e-02 1.790218278828558551e+00 3.204881485851886591e+00
8.000000000000000167e-02 1.789468380870835151e+00 3.202197086136488569e+00
8.100000000000000255e-02 1.794526249104202886e+00 3.220324458723999417e+00
8.200000000000000344e-02 1.804995400577615428e+00 3.258008396106346627e+00
8.300000000000000433e-02 1.817001499106084550e+00 3.301494447753758887e+00
8.400000000000000522e-02 1.827106938296321648e+00 3.338319763970558629e+00
8.500000000000000611e-02 1.836764864180870704e+00 3.373705166289372670e+00
8.600000000000000699e-02 1.854965444922076490e+00 3.440896801854957054e+00
8.700000000000000788e-02 1.858586226488306181e+00 3.454342761292040986e+00
8.799999999999999489e-02 1.865869810678328911e+00 3.481470150400782781e+00
8.899999999999999578e-02 1.866043905072391818e+00 3.482119855657821450e+00
8.999999999999999667e-02 1.872427450078409938e+00 3.505984555807136527e+00
9.099999999999999756e-02 1.870208060986338294e+00 3.497678191378279067e+00
9.199999999999999845e-02 1.881480257789195809e+00 3.539967960450498552e+00
9.299999999999999933e-02 1.886972073287154661e+00 3.560663605365622875e+00
9.400000000000000022e-02 1.888633286060702243e+00 3.566935689216446104e+00
9.500000000000000111e-02 1.889501539163604305e+00 3.570216066501629371e+00
9.600000000000000200e-02 1.892545272785248089e+00 3.581727609541789370e+00
9.700000000000000289e-02 1.911949648805552515e+00 3.655551459567675465e+00
9.800000000000000377e-02 1.900725049086047225e+00 3.612755712223156834e+00
9.900000000000000466e-02 1.908816724684175625e+00 3.643581288434023957e+00
1.000000000000000056e-01 1.915346186546292850e+00 3.668551014317426251e+00
1.010000000000000064e-01 1.899752312916441532e+00 3.609058850431369425e+00
1.020000000000000073e-01 1.915696869472346409e+00 3.669894495706147897e+00
1.030000000000000082e-01 1.913744100659451108e+00 3.662416482808851015e+00
1.040000000000000091e-01 1.924392611698904298e+00 3.703286923961329968e+00
1.049999999999999961e-01 1.945630037272700230e+00 3.785476241937768549e+00
1.059999999999999970e-01 1.956811342702051926e+00 3.829110630927407222e+00
1.069999999999999979e-01 1.964648914571377025e+00 3.859845357526489718e+00
1.079999999999999988e-01 1.975037199266425292e+00 3.900771938486164991e+00
1.089999999999999997e-01 1.984996730869722281e+00 3.940212021563485045e+00
1.100000000000000006e-01 1.976086817341481172e+00 3.904919109670784483e+00
1.110000000000000014e-01 1.974903891854360438e+00 3.900245382061499289e+00
1.120000000000000023e-01 1.971396735910660114e+00 3.886405090359205339e+00
1.130000000000000032e-01 1.964512233092847948e+00 3.859308313971447912e+00
1.140000000000000041e-01 1.956588354488047132e+00 3.828237988918244294e+00
1.150000000000000050e-01 1.961094657799965946e+00 3.845892256851565438e+00
1.160000000000000059e-01 1.966264634323365401e+00 3.866196612190797577e+00
1.170000000000000068e-01 1.965818765434494741e+00 3.864443418534401431e+00
1.180000000000000077e-01 1.980495256943754612e+00 3.922361462776708940e+00
1.190000000000000085e-01 1.970367788851554280e+00 3.882349223343763089e+00
1.199999999999999956e-01 1.971932621230289451e+00 3.888518262672159942e+00
1.209999999999999964e-01 1.973724495474567631e+00 3.895588384036336116e+00
1.219999999999999973e-01 1.974204823935614916e+00 3.897484686850652302e+00
1.229999999999999982e-01 1.962902474101006600e+00 3.852986122831852711e+00
1.239999999999999991e-01 1.958306627477862882e+00 3.834964847223721218e+00
1.250000000000000000e-01 1.958107637699879833e+00 3.834185520818603532e+00
1.260000000000000009e-01 1.952574674223245488e+00 3.812547858418013469e+00
1.270000000000000018e-01 1.963897294141757843e+00 3.856892581937318543e+00
1.280000000000000027e-01 1.955814264529040170e+00 3.825209437335270302e+00
1.290000000000000036e-01 1.956812794695840685e+00 3.829116313485346090e+00
1.300000000000000044e-01 1.964004311700639382e+00 3.857312936378702428e+00
1.310000000000000053e-01 1.970969651184044213e+00 3.884721365888553102e+00
1.320000000000000062e-01 1.970067559997802142e+00 3.881166190955693818e+00
1.330000000000000071e-01 1.972492234704495750e+00 3.890725615969535589e+00
1.340000000000000080e-01 1.982670080989523465e+00 3.930980650051003167e+00
1.350000000000000089e-01 1.983712675162827566e+00 3.935115977601661541e+00
1.360000000000000098e-01 1.985259103732330166e+00 3.941253708952094925e+00
1.370000000000000107e-01 1.986223687564810048e+00 3.945084537043551887e+00
1.380000000000000115e-01 1.972775903745718873e+00 3.891844766399737754e+00
1.390000000000000124e-01 1.964791525864110211e+00 3.860405740107418548e+00
1.400000000000000133e-01 1.963258464267954251e+00 3.854383797519766119e+00
1.410000000000000142e-01 1.953225630637632104e+00 3.815090364179775761e+00
1.420000000000000151e-01 1.949148385391487270e+00 3.799179428274241932e+00
1.430000000000000160e-01 1.949184573680002641e+00 3.799320502272093503e+00
1.440000000000000169e-01 1.945892467092620093e+00 3.786497493487803290e+00
1.449999999999999900e-01 1.946440079136289247e+00 3.788628981668083817e+00
1.459999999999999909e-01 1.947858494613920133e+00 3.794152715039607049e+00
1.469999999999999918e-01 1.943615505147452627e+00 3.777641231849587111e+00
1.479999999999999927e-01 1.933654763077600203e+00 3.739020742772690475e+00
